name,url,stars,description,license,question_issues,help_wanted_issues,community_score,created_at
ClickHouse/ClickHouse,https://github.com/ClickHouse/ClickHouse,39060,ClickHouse® is a real-time analytics database management system,Apache License 2.0,5081,236,5317,2016-06-02
envoyproxy/envoy,https://github.com/envoyproxy/envoy,25488,Cloud-native high-performance edge/middle/service proxy,Apache License 2.0,2661,1357,4018,2016-08-08
facebookresearch/faiss,https://github.com/facebookresearch/faiss,33069,A library for efficient similarity search and clustering of dense vectors.,The MIT License,747,191,938,2017-02-07
carla-simulator/carla,https://github.com/carla-simulator/carla,12033,Open-source simulator for autonomous driving research.,The MIT License,828,48,876,2017-10-24
microsoft/LightGBM,https://github.com/microsoft/LightGBM,16963,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision tree algorithms, used for ranking, classification and many other machine learning tasks.",The MIT License,679,186,865,2016-08-05
swoole/swoole-src,https://github.com/swoole/swoole-src,18577,🚀 Coroutine-based concurrency library for PHP,Apache License 2.0,786,0,786,2012-07-21
microsoft/terminal,https://github.com/microsoft/terminal,97076,"The new Windows Terminal and the original Windows console host, all in the same place!",The MIT License,0,760,760,2017-08-11
rapidsai/cudf,https://github.com/rapidsai/cudf,8687,cuDF - GPU DataFrame Library ,Apache License 2.0,379,0,379,2017-05-07
NVIDIA/TensorRT,https://github.com/NVIDIA/TensorRT,11191,NVIDIA® TensorRT™ is an SDK for high-performance deep learning inference on NVIDIA GPUs. This repository contains the open source components of TensorRT.,Apache License 2.0,336,0,336,2019-05-02
NVIDIA/TensorRT-LLM,https://github.com/NVIDIA/TensorRT-LLM,9438,TensorRT-LLM provides users with an easy-to-use Python API to define Large Language Models (LLMs) and build TensorRT engines that contain state-of-the-art optimizations to perform inference efficiently on NVIDIA GPUs. TensorRT-LLM also contains components to create Python and C++ runtimes that execute those TensorRT engines.,Apache License 2.0,267,6,273,2023-08-16
tesseract-ocr/tesseract,https://github.com/tesseract-ocr/tesseract,64643,Tesseract Open Source OCR Engine (main repository),Apache License 2.0,226,3,229,2014-08-12
skypjack/entt,https://github.com/skypjack/entt,10611,Gaming meets modern C++ - a fast and reliable entity component system (ECS) and much more,The MIT License,206,20,226,2017-03-27
PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,22472,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice （『飞桨』核心框架，深度学习&机器学习高性能单机、分布式训练和跨平台部署）,Apache License 2.0,205,0,205,2016-08-15
WasmEdge/WasmEdge,https://github.com/WasmEdge/WasmEdge,8959,"WasmEdge is a lightweight, high-performance, and extensible WebAssembly runtime for cloud native, edge, and decentralized applications. It powers serverless apps, embedded functions, microservices, smart contracts, and IoT devices.",Apache License 2.0,60,98,158,2019-11-29
polybar/polybar,https://github.com/polybar/polybar,14380,A fast and easy-to-use status bar,The MIT License,60,61,121,2016-05-19
