name,url,stars,description,license,question_issues,help_wanted_issues,community_score,created_at
allinurl/goaccess,https://github.com/allinurl/goaccess,18993,GoAccess is a real-time web log analyzer and interactive viewer that runs in a terminal in *nix systems or through your browser.,The MIT License,996,0,996,2013-07-14
koekeishiya/yabai,https://github.com/koekeishiya/yabai,24946,A tiling window manager for macOS based on binary space partitioning,The MIT License,280,113,393,2019-05-04
openssl/openssl,https://github.com/openssl/openssl,26707,TLS/SSL and crypto library,Apache License 2.0,0,384,384,2013-01-15
fluent/fluent-bit,https://github.com/fluent/fluent-bit,6585,"Fast and Lightweight Logs and Metrics processor for Linux, BSD, OSX and Windows",Apache License 2.0,247,5,252,2015-01-27
gojue/ecapture,https://github.com/gojue/ecapture,13907,Capturing SSL/TLS plaintext without a CA certificate using eBPF. Supported on Linux/Android kernels for amd64/arm64.,Apache License 2.0,128,50,178,2022-03-13
tsl0922/ttyd,https://github.com/tsl0922/ttyd,8446,Share your terminal over the web,The MIT License,153,6,159,2016-09-13
Genymobile/scrcpy,https://github.com/Genymobile/scrcpy,117764,Display and control your Android device,Apache License 2.0,98,10,108,2017-11-21
libuv/libuv,https://github.com/libuv/libuv,24816,Cross-platform asynchronous I/O,The MIT License,47,34,81,2013-11-30
DaveGamble/cJSON,https://github.com/DaveGamble/cJSON,11143,Ultralightweight JSON parser in ANSI C,The MIT License,74,2,76,2016-03-19
jerryscript-project/jerryscript,https://github.com/jerryscript-project/jerryscript,7142,Ultra-lightweight JavaScript engine for the Internet of Things.,Apache License 2.0,73,0,73,2015-04-03
alibaba/AliOS-Things,https://github.com/alibaba/AliOS-Things,4602,面向IoT领域的、高可伸缩的物联网操作系统，可去官网了解更多信息https://www.aliyun.com/product/aliosthings,Apache License 2.0,20,48,68,2017-08-30
ZipArchive/ZipArchive,https://github.com/ZipArchive/ZipArchive,5487,"ZipArchive is a simple utility class for zipping and unzipping files on iOS, macOS and tvOS.",The MIT License,34,18,52,2010-08-19
glfw/glfw,https://github.com/glfw/glfw,13471,"A multi-platform library for OpenGL, OpenGL ES, Vulkan, window and input",Zlib/libpng License,50,0,50,2013-04-18
AFLplusplus/AFLplusplus,https://github.com/AFLplusplus/AFLplusplus,5493,"The fuzzer afl++ is afl with community patches, qemu 5.1 upgrade, collision-free coverage, enhanced laf-intel & redqueen, AFLfast++ power schedules, MOpt mutators, unicorn_mode, and a lot more!",Apache License 2.0,8,32,40,2019-05-28
begeekmyfriend/yasea,https://github.com/begeekmyfriend/yasea,4901,RTMP live streaming client for Android,The MIT License,34,4,38,2016-04-06
SoftEtherVPN/SoftEtherVPN,https://github.com/SoftEtherVPN/SoftEtherVPN,11999,Cross-platform multi-protocol VPN software. Pull requests are welcome. The stable version is available at https://github.com/SoftEtherVPN/SoftEtherVPN_Stable.,Apache License 2.0,19,18,37,2014-01-02
fastfetch-cli/fastfetch,https://github.com/fastfetch-cli/fastfetch,12462,"A maintained, feature-rich and performance oriented, neofetch like system information tool.",The MIT License,23,11,34,2021-02-18
wasm3/wasm3,https://github.com/wasm3/wasm3,7451,🚀 A fast WebAssembly interpreter and the most universal WASM runtime,The MIT License,15,5,20,2019-10-01
winsiderss/systeminformer,https://github.com/winsiderss/systeminformer,11433,"A free, powerful, multi-purpose tool that helps you monitor system resources, debug software and detect malware. Brought to you by Winsider Seminars & Solutions, Inc. @ http://www.windows-internals.com",The MIT License,20,0,20,2016-02-01
sparklemotion/nokogiri,https://github.com/sparklemotion/nokogiri,6173,Nokogiri (鋸) makes it easy and painless to work with XML and HTML from Ruby.,The MIT License,0,20,20,2008-07-14
koekeishiya/skhd,https://github.com/koekeishiya/skhd,6810, Simple hotkey daemon for macOS,The MIT License,11,4,15,2017-08-07
tursodatabase/libsql,https://github.com/tursodatabase/libsql,13796,"libSQL is a fork of SQLite that is both Open Source, and Open Contributions.",The MIT License,3,12,15,2022-09-29
nodemcu/nodemcu-firmware,https://github.com/nodemcu/nodemcu-firmware,7739,"Lua based interactive firmware for ESP8266, ESP8285 and ESP32",The MIT License,8,6,14,2014-11-20
nesbox/TIC-80,https://github.com/nesbox/TIC-80,5222,"TIC-80 is a fantasy computer for making, playing and sharing tiny games.",The MIT License,14,0,14,2017-01-03
microsoft/WinObjC,https://github.com/microsoft/WinObjC,6247,Objective-C for Windows,The MIT License,14,0,14,2015-06-23
octalmage/robotjs,https://github.com/octalmage/robotjs,12470,Node.js Desktop Automation. ,The MIT License,7,6,13,2014-08-31
FreeRTOS/FreeRTOS,https://github.com/FreeRTOS/FreeRTOS,5685,'Classic' FreeRTOS distribution.  Started as Git clone of FreeRTOS SourceForge SVN repo.  Submodules the kernel.,The MIT License,12,1,13,2019-09-03
woltapp/blurhash,https://github.com/woltapp/blurhash,16078,A very compact representation of a placeholder for an image.,The MIT License,13,0,13,2019-06-26
mattn/go-sqlite3,https://github.com/mattn/go-sqlite3,8256,sqlite3 driver for go using database/sql,The MIT License,7,5,12,2011-11-11
clibs/clib,https://github.com/clibs/clib,4923,Package manager for the C programming language.,The MIT License,6,6,12,2012-10-28
libsdl-org/SDL,https://github.com/libsdl-org/SDL,11416,Simple Directmedia Layer,Zlib/libpng License,0,9,9,2021-01-15
jart/blink,https://github.com/jart/blink,7077,tiniest x86-64-linux emulator,ISC License,7,1,8,2022-11-03
palera1n/palera1n,https://github.com/palera1n/palera1n,5256,"Jailbreak for A8 through A11, T2 devices, on iOS/iPadOS/tvOS 15.0, bridgeOS 5.0 and higher.",The MIT License,4,4,8,2022-09-17
uber/h3,https://github.com/uber/h3,5071,Hexagonal hierarchical geospatial indexing system,Apache License 2.0,6,2,8,2017-12-21
zmap/zmap,https://github.com/zmap/zmap,5660,ZMap is a fast single packet network scanner designed for Internet-wide network surveys.,Apache License 2.0,7,0,7,2013-01-23
ffmpegwasm/ffmpeg.wasm,https://github.com/ffmpegwasm/ffmpeg.wasm,15096,"FFmpeg for browser, powered by WebAssembly",The MIT License,0,6,6,2019-10-16
iovisor/bcc,https://github.com/iovisor/bcc,20955,"BCC - Tools for BPF-based Linux IO analysis, networking, monitoring, and more",Apache License 2.0,1,4,5,2015-05-01
twitter/twemproxy,https://github.com/twitter/twemproxy,12210,"A fast, light-weight proxy for memcached and redis",Apache License 2.0,5,0,5,2012-02-22
ValdikSS/GoodbyeDPI,https://github.com/ValdikSS/GoodbyeDPI,26351,GoodbyeDPI — Deep Packet Inspection circumvention utility (for Windows),Apache License 2.0,3,2,5,2017-05-16
cloudwu/skynet,https://github.com/cloudwu/skynet,13456,A lightweight online game framework,The MIT License,5,0,5,2012-08-01
Meituan-Dianping/Logan,https://github.com/Meituan-Dianping/Logan,5772,Logan is a lightweight case logging system based on mobile platform.,The MIT License,3,2,5,2018-09-26
microsoft/winfile,https://github.com/microsoft/winfile,6916,Original Windows File Manager (winfile) with enhancements,The MIT License,0,4,4,2018-04-02
