name,url,stars,description,license,question_issues,help_wanted_issues,community_score,created_at
google/ExoPlayer,https://github.com/google/ExoPlayer,21778,This project is deprecated and stale. The latest ExoPlayer code is available in https://github.com/androidx/media,Apache License 2.0,4469,0,4469,2014-06-13
thingsboard/thingsboard,https://github.com/thingsboard/thingsboard,18249,"Open-source IoT Platform - Device management, data collection, processing and visualization.",Apache License 2.0,2101,29,2130,2016-12-01
apache/skywalking,https://github.com/apache/skywalking,24102,"APM, Application Performance Monitoring System",Apache License 2.0,1900,0,1900,2015-11-07
alibaba/easyexcel,https://github.com/alibaba/easyexcel,33102,快速、简洁、解决大文件内存溢出的java处理Excel工具,Apache License 2.0,259,1432,1691,2018-02-06
redisson/redisson,https://github.com/redisson/redisson,23615,"Redisson - Valkey and Redis Java client. Real-Time Data Platform. Sync/Async/RxJava/Reactive API. Over 50 Valkey and Redis based Java objects and services: Set, Multimap, SortedSet, Map, List, Queue, Deque, Semaphore, Lock, AtomicLong, Map Reduce, Bloom filter, Spring, Tomcat, Scheduler, JCache API, Hibernate, RPC, local cache..",Apache License 2.0,1288,0,1288,2014-01-11
ReactiveX/RxJava,https://github.com/ReactiveX/RxJava,48019,RxJava – Reactive Extensions for the JVM – a library for composing asynchronous and event-based programs using observable sequences for the Java VM.,Apache License 2.0,1150,0,1150,2013-01-08
dbeaver/dbeaver,https://github.com/dbeaver/dbeaver,41803,Free universal database tool and SQL client,Apache License 2.0,1059,41,1100,2015-10-21
keycloak/keycloak,https://github.com/keycloak/keycloak,25360,Open Source Identity and Access Management For Modern Applications and Services,Apache License 2.0,0,881,881,2013-07-02
apache/pulsar,https://github.com/apache/pulsar,14445,Apache Pulsar - distributed pub-sub messaging system,Apache License 2.0,0,489,489,2016-06-28
apache/dubbo,https://github.com/apache/dubbo,40730,The java implementation of Apache Dubbo. An RPC and microservice framework.,Apache License 2.0,0,339,339,2012-06-19
brettwooldridge/HikariCP,https://github.com/brettwooldridge/HikariCP,20251,"光 HikariCP・A solid, high-performance, JDBC connection pool at last.",Apache License 2.0,297,0,297,2013-10-08
YunaiV/ruoyi-vue-pro,https://github.com/YunaiV/ruoyi-vue-pro,29189,🔥 官方推荐 🔥 RuoYi-Vue 全新 Pro 版本，优化重构所有功能。基于 Spring Boot + MyBatis Plus + Vue & Element 实现的后台管理系统 + 微信小程序，支持 RBAC 动态权限、数据权限、SaaS 多租户、Flowable 工作流、三方登录、支付、短信、商城、CRM、ERP、AI 大模型等功能。你的 ⭐️ Star ⭐️，是作者生发的动力！,The MIT License,291,0,291,2021-01-24
openzipkin/zipkin,https://github.com/openzipkin/zipkin,17126,Zipkin is a distributed tracing system,Apache License 2.0,165,28,193,2012-06-06
