name,url,stars,description,license,question_issues,help_wanted_issues,community_score,created_at
lovell/sharp,https://github.com/lovell/sharp,29883,"High performance Node.js image processing, the fastest module to resize JPEG, PNG, WebP, AVIF and TIFF images. Uses the libvips library.",Apache License 2.0,2229,10,2239,2013-08-19
mrdoob/three.js,https://github.com/mrdoob/three.js,104370,JavaScript 3D Library.,The MIT License,1911,0,1911,2010-03-23
serverless/serverless,https://github.com/serverless/serverless,46590,"⚡ Serverless Framework – Effortlessly build apps that auto-scale, incur zero costs when idle, and require minimal maintenance using AWS Lambda and other managed cloud services.",The MIT License,622,791,1413,2015-04-21
webpack/webpack,https://github.com/webpack/webpack,65034,"A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading parts of the application on demand. Through ""loaders"", modules can be CommonJs, AMD, ES6 modules, CSS, Images, JSON, Coffeescript, LESS, ... and your custom stuff.",The MIT License,1234,0,1234,2012-03-10
expressjs/express,https://github.com/expressjs/express,66335,"Fast, unopinionated, minimalist web framework for node.",The MIT License,981,24,1005,2009-06-26
gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby,55733,"The best React-based framework with performance, scalability and security built in.",The MIT License,0,954,954,2015-05-21
jashkenas/backbone,https://github.com/jashkenas/backbone,28104,"Give your JS App some Backbone with Models, Views, Collections, and Events",The MIT License,733,0,733,2010-09-30
chartjs/Chart.js,https://github.com/chartjs/Chart.js,65347,Simple HTML5 Charts using the <canvas> tag,The MIT License,0,421,421,2013-03-17
TryGhost/Ghost,https://github.com/TryGhost/Ghost,48435,"Independent technology for modern publishing, memberships, subscriptions and newsletters.",The MIT License,0,399,399,2013-05-04
atom/atom,https://github.com/atom/atom,60318,:atom: The hackable text editor,The MIT License,364,0,364,2012-01-20
caolan/async,https://github.com/caolan/async,28221,Async utilities for node and the browser,The MIT License,287,4,291,2010-06-01
GoogleChrome/lighthouse,https://github.com/GoogleChrome/lighthouse,28694,"Automated auditing, performance metrics, and best practices for the web.",Apache License 2.0,266,21,287,2016-03-08
nwjs/nw.js,https://github.com/nwjs/nw.js,40491,Call all Node.js modules directly from DOM/WebWorker and enable a new way of writing applications with all Web technologies.,The MIT License,286,0,286,2012-01-04
airbnb/javascript,https://github.com/airbnb/javascript,146139,JavaScript Style Guide,The MIT License,279,0,279,2012-11-01
webtorrent/webtorrent,https://github.com/webtorrent/webtorrent,29930,⚡️ Streaming torrent client for the web,The MIT License,170,95,265,2013-10-15
jashkenas/underscore,https://github.com/jashkenas/underscore,27377,JavaScript's utility _ belt,The MIT License,249,0,249,2009-10-25
louislam/uptime-kuma,https://github.com/louislam/uptime-kuma,64509,A fancy self-hosted monitoring tool,The MIT License,218,21,239,2021-07-03
react-boilerplate/react-boilerplate,https://github.com/react-boilerplate/react-boilerplate,29508,"🔥 A highly scalable, offline-first foundation with the best developer experience and a focus on performance and best practices.",The MIT License,173,66,239,2015-02-18
Automattic/mongoose,https://github.com/Automattic/mongoose,27101,MongoDB object modeling designed to work in an asynchronous environment.,The MIT License,0,234,234,2010-04-06
preactjs/preact,https://github.com/preactjs/preact,37167,⚛️ Fast 3kB React alternative with the same modern API. Components & Virtual DOM.,The MIT License,156,73,229,2015-09-11
hakimel/reveal.js,https://github.com/hakimel/reveal.js,68371,The HTML Presentation Framework,The MIT License,216,5,221,2011-06-07
