name,url,stars,description,license,question_issues,help_wanted_issues,community_score,created_at
ccxt/ccxt,https://github.com/ccxt/ccxt,34640,A JavaScript / TypeScript / Python / C# / PHP / Go cryptocurrency trading API with support for more than 100 bitcoin/altcoin exchanges,The MIT License,4433,0,4433,2017-05-14
Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,29008,"Pretrain, finetune ANY AI model of ANY size on multiple GPUs, TPUs with zero code changes.",Apache License 2.0,995,2800,3795,2019-03-31
fastapi/fastapi,https://github.com/fastapi/fastapi,81047,"FastAPI framework, high performance, easy to learn, fast to code, ready for production",The MIT License,3118,0,3118,2018-12-08
run-llama/llama_index,https://github.com/run-llama/llama_index,39031,LlamaIndex is the leading framework for building LLM-powered agents over your data.,The MIT License,1781,0,1781,2022-11-02
facebookresearch/fairseq,https://github.com/facebookresearch/fairseq,30997,Facebook AI Research Sequence-to-Sequence Toolkit written in Python.,The MIT License,1417,149,1566,2017-08-29
ray-project/ray,https://github.com/ray-project/ray,35501,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.,Apache License 2.0,953,0,953,2016-10-25
vnpy/vnpy,https://github.com/vnpy/vnpy,27318,基于Python的开源量化交易平台开发框架,The MIT License,419,524,943,2015-03-02
Aider-AI/aider,https://github.com/Aider-AI/aider,27484,aider is AI pair programming in your terminal,Apache License 2.0,934,0,934,2023-05-09
infiniflow/ragflow,https://github.com/infiniflow/ragflow,37326,RAGFlow is an open-source RAG (Retrieval-Augmented Generation) engine based on deep document understanding.,Apache License 2.0,613,0,613,2023-12-12
jax-ml/jax,https://github.com/jax-ml/jax,31317,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more",Apache License 2.0,394,0,394,2018-10-25
mitmproxy/mitmproxy,https://github.com/mitmproxy/mitmproxy,37952,An interactive TLS-capable intercepting HTTP proxy for penetration testers and software developers.,The MIT License,0,307,307,2010-02-16
littlecodersh/ItChat,https://github.com/littlecodersh/ItChat,25942,A complete and graceful API for Wechat. 微信个人号接口、微信机器人及命令行微信，三十行即可自定义个人号机器人。,The MIT License,294,4,298,2016-01-19
deezer/spleeter,https://github.com/deezer/spleeter,26381,Deezer source separation library including pretrained models.,The MIT License,230,9,239,2019-09-26
hankcs/HanLP,https://github.com/hankcs/HanLP,34432,中文分词 词性标注 命名实体识别 依存句法分析 成分句法分析 语义依存分析 语义角色标注 指代消解 风格转换 语义相似度 新词发现 关键词短语提取 自动摘要 文本分类聚类 拼音简繁转换 自然语言处理,Apache License 2.0,215,0,215,2014-10-09
sherlock-project/sherlock,https://github.com/sherlock-project/sherlock,62498,Hunt down social media accounts by username across social networks,The MIT License,193,14,207,2018-12-24
roboflow/supervision,https://github.com/roboflow/supervision,24899,We write your reusable computer vision tools. 💜,The MIT License,162,12,174,2022-11-28
langflow-ai/langflow,https://github.com/langflow-ai/langflow,48443,"Langflow is a low-code app builder for RAG and multi-agent AI applications. It’s Python-based and agnostic to any model, API, or database.",The MIT License,158,7,165,2023-02-08
home-assistant/core,https://github.com/home-assistant/core,76601,:house_with_garden: Open source home automation that puts local control and privacy first.,Apache License 2.0,130,0,130,2013-09-17
microsoft/autogen,https://github.com/microsoft/autogen,39697,A programming framework for agentic AI 🤖 PyPi: autogen-agentchat Discord: https://aka.ms/autogen-discord Office Hour: https://aka.ms/autogen-officehour,Creative Commons Attribution 4.0 International,73,51,124,2023-08-18
LAION-AI/Open-Assistant,https://github.com/LAION-AI/Open-Assistant,37239,"OpenAssistant is a chat-based assistant that understands tasks, can interact with third-party systems, and retrieve information dynamically to do so.",Apache License 2.0,122,0,122,2022-12-13
