name,url,stars,description,license,question_issues,help_wanted_issues,total_issues,community_score,created_at
CommunityToolkit/Aspire,https://github.com/CommunityToolkit/Aspire,316,A community project with additional components and extensions for .NET Aspire,The MIT License,1,22,34,23,2024-07-04
Ryubing/Ryujinx,https://github.com/Ryubing/Ryujinx,7986,"Nintendo Switch emulator written in C#, originally created by gdkchan.",The MIT License,0,15,179,15,2024-10-06
KisaragiEffective/ResoniteImportHelper,https://github.com/KisaragiEffective/ResoniteImportHelper,24,"Convert Unity avatar into glTF, then import to Resonite",The MIT License,3,5,50,8,2024-08-28
tonybaloney/CSnakes,https://github.com/tonybaloney/CSnakes,431,Embed Python in .NET,The MIT License,1,6,71,7,2024-07-18
FritzAndFriends/SharpSite,https://github.com/FritzAndFriends/SharpSite,114,A basic CMS built with .NET 9 and Blazor,The MIT License,2,4,59,6,2024-10-10
bazyleu/UniState,https://github.com/bazyleu/UniState,113,"UniState is a modern, high-performance, scalable state machine package for Unity.",The MIT License,1,4,5,5,2024-07-18
p3nGu1nZz/Tau,https://github.com/p3nGu1nZz/Tau,14,Tau LLM made with Unity 6 ML Agents,The MIT License,0,5,4,5,2024-08-24
edwardgushchin/SDL3-CS,https://github.com/edwardgushchin/SDL3-CS,18,"This is SDL3#, a C# wrapper for SDL3.",Zlib/libpng License,2,3,0,5,2024-07-06
jeroenwalter/SdcpMonitor,https://github.com/jeroenwalter/SdcpMonitor,15,Application for monitoring the print progress of the Elegoo Saturn 4 Ultra via the SDCP protocol,The MIT License,2,2,18,4,2024-07-29
netcorepal/d3shop,https://github.com/netcorepal/d3shop,92,An online shop project based on Domain-Driven Design,The MIT License,0,3,29,3,2024-09-09
MidraLab/uDesktopMascot,https://github.com/MidraLab/uDesktopMascot,256,desktop mascot open project,Apache License 2.0,2,1,9,3,2025-01-11
RadicalCSG/com.chisel,https://github.com/RadicalCSG/com.chisel,47,"Chisel CSG Level Editor, for Unity",The MIT License,0,3,8,3,2024-09-20
kiapanahi/Aspire.ResourceServer.Standalone,https://github.com/kiapanahi/Aspire.ResourceServer.Standalone,19,A standalone .NET Aspire Resource Server implementation,The MIT License,1,2,7,3,2024-10-30
DrMeepso/WebFishingCove,https://github.com/DrMeepso/WebFishingCove,91,A dedicated server for Webfishing!,Apache License 2.0,0,3,3,3,2024-11-03
AkiKurisu/Ceres,https://github.com/AkiKurisu/Ceres,41,Powerful visual scripting toolkit for Unity. Inspired from Unreal's Blueprint.,The MIT License,0,3,3,3,2024-12-29
PinchToDebug/Pihole-Tray,https://github.com/PinchToDebug/Pihole-Tray,43,A tray application for Pi-hole,The MIT License,1,2,0,3,2024-08-22
neelabo/NeeView,https://github.com/neelabo/NeeView,103,An image viewer that allows you to browse images in folders and compressed files like a book. Powerful customization is available.,The MIT License,2,0,216,2,2025-01-15
microsoft/ai-dev-gallery,https://github.com/microsoft/ai-dev-gallery,830,An open-source project for Windows developers to learn how to add AI with local models and APIs to Windows apps.,The MIT License,0,2,50,2,2024-11-06
IviriusCommunity/Rebound,https://github.com/IviriusCommunity/Rebound,494,Windows 11 done right.,The MIT License,0,2,43,2,2024-08-08
Azure/azure-service-bus-emulator-installer,https://github.com/Azure/azure-service-bus-emulator-installer,175,"This repository acts as a central hub for handling issues, collecting feedback, and facilitating discussions related to the Azure Service Bus Emulator.",The MIT License,2,0,27,2,2024-11-04
ArturWyszomirski/Plugin.Maui.Chat,https://github.com/ArturWyszomirski/Plugin.Maui.Chat,27,Highly customizable chat control,The MIT License,1,1,25,2,2024-07-09
microsoft/Agents-for-net,https://github.com/microsoft/Agents-for-net,56,This repository is for active development of the Microsoft 365 Agent SDK components for .NET,The MIT License,1,1,16,2,2024-11-06
Kromtec/LegendsViewer-Next,https://github.com/Kromtec/LegendsViewer-Next,79,Recreates Dwarf Fortress' Legends Mode from exported files.,The MIT License,1,1,12,2,2024-09-24
jiaozi158/UnitySSGIURP,https://github.com/jiaozi158/UnitySSGIURP,225,Screen Space Global Illumination for Unity URP (Universal Render Pipeline).,The MIT License,2,0,9,2,2024-07-11
NotNite/GDWeave,https://github.com/NotNite/GDWeave,168,Mod loader & runtime script patching for Godot,The MIT License,0,2,6,2,2024-10-16
ld0614/DPC,https://github.com/ld0614/DPC,20,The new home for DPC,The MIT License,2,0,6,2,2024-10-08
martincostello/openapi-extensions,https://github.com/martincostello/openapi-extensions,61,Extensions for Microsoft.AspNetCore.OpenApi,Apache License 2.0,0,2,4,2,2024-07-28
roblox-csharp/roblox-cs,https://github.com/roblox-csharp/roblox-cs,56,C# to Luau transpiler for Roblox,The MIT License,0,2,4,2,2024-07-08
sakakun/Proxmox-Desktop-Client,https://github.com/sakakun/Proxmox-Desktop-Client,125,A windows desktop client for Proxmox.,The MIT License,2,0,1,2,2024-11-20
builtbybel/Flyby11,https://github.com/builtbybel/Flyby11,1049,Windows 11 Upgrading Assistant,The MIT License,0,1,30,1,2024-10-19
YusufOzmen01/desktopmate-custom-avatar-loader,https://github.com/YusufOzmen01/desktopmate-custom-avatar-loader,506,Custom Avatar Loader Mod for DesktopMate!,The MIT License,0,1,19,1,2025-01-09
PCJones/MediathekArr,https://github.com/PCJones/MediathekArr,106,"Integrate ARD&ZDF Mediathek in Prowlarr, Sonarr and Radarr",The MIT License,1,0,12,1,2024-10-22
devlooped/StructId,https://github.com/devlooped/StructId,34,Automatic implemention of stronly typed IDs via record structs with compile-time feature auto-detection,The MIT License,1,0,11,1,2024-11-19
Os-Derivados/college-management,https://github.com/Os-Derivados/college-management,24,CLI application for managing University internal assets,The MIT License,1,0,10,1,2024-07-29
NikiforovAll/dependify,https://github.com/NikiforovAll/dependify,65,Explore project dependencies in .NET,The MIT License,0,1,4,1,2024-07-18
alexmalyutindev/unity-urp-radiance-cascades,https://github.com/alexmalyutindev/unity-urp-radiance-cascades,103,Alexander Sannikov's Radiance Cascades for Unity's URP,The MIT License,1,0,2,1,2024-11-23
ghost1372/DevWinUI,https://github.com/ghost1372/DevWinUI,55,"DevWinUI is a collection of useful classes, controls, styles, and codes for WinUI 3. Create a WinUI 3 app in less than a minute with the built-in project templates and scaffolding tools.  ",The MIT License,1,0,2,1,2024-11-18
michaelmsonne/SignToolGUI,https://github.com/michaelmsonne/SignToolGUI,46,"This tool is a user-friendly Graphical User Interface (GUI) tool that simplifies and streamlines the process of digitally signing files using Microsoft's signtool.exe. This tool is designed to provide a straightforward interface, enabling users to apply digital signatures to software executables, drivers, DLLs, and other file types effortlessly.",The MIT License,0,1,2,1,2024-07-18
hfiref0x/WinDepends,https://github.com/hfiref0x/WinDepends,511,Windows Dependencies,The MIT License,0,1,1,1,2024-11-23
AIDotNet/GraphRag.Net,https://github.com/AIDotNet/GraphRag.Net,210,参考GraphRag使用 Semantic Kernel 来实现的dotnet版本，可以使用NuGet开箱即用集成到项目中,Apache License 2.0,1,0,1,1,2024-07-22
SaboZhang/EasyTidy,https://github.com/SaboZhang/EasyTidy,151,EasyTidy A simple file auto-classification tool  makes it easy to create automatic workflows with files. / EasyTidy 一个简单的文件自动分类整理工具  轻松创建文件的自动工作流程,The MIT License,1,0,1,1,2024-09-18
VahidN/DntSite,https://github.com/VahidN/DntSite,87,این پروژه، سورس کامل و در حال استفاده‌ی وب‌سایت «دات‌نت تيپس» است,Apache License 2.0,1,0,1,1,2024-07-25
ktxiaok/FireAxe,https://github.com/ktxiaok/FireAxe,45,"A Left 4 Dead 2 addon manager that supports hierarchical organization, workshop items and collections download, addon enablement management, etc.",Apache License 2.0,1,0,1,1,2024-10-27
AbZorbaGames/artificetoolkit,https://github.com/AbZorbaGames/artificetoolkit,76,A Unity toolkit that allows easy editor customization with simple C# attributes.,Apache License 2.0,1,0,0,1,2024-11-20
yazilimacademy/akilliprompt-backend,https://github.com/yazilimacademy/akilliprompt-backend,33,Yazilim Academy'nin Akilli Prompt projesi,The MIT License,0,1,0,1,2024-11-20
amp64/openphonos,https://github.com/amp64/openphonos,24,Full featured Sonos stack and applications,The MIT License,0,1,0,1,2024-10-04
endatix/endatix,https://github.com/endatix/endatix,17,Endatix is the open-source data collection and management library for .NET,The MIT License,0,0,126,0,2024-07-29
cloudyExecutor/cxapi,https://github.com/cloudyExecutor/cxapi,18,Custom Xeno Api,The MIT License,0,0,101,0,2025-02-08
ryujinx-mirror/ryujinx,https://github.com/ryujinx-mirror/ryujinx,2383,Hard-fork of the Ryujinx project,The MIT License,0,0,48,0,2024-10-01
microsoft/Agents,https://github.com/microsoft/Agents,115,"The Microsoft 365 Agent SDK simplifies building full stack, multichannel, trusted agents for platforms including M365, Teams, Copilot Studio, and Webchat.",The MIT License,0,0,39,0,2024-11-04
