name,url,stars,description,license,question_issues,help_wanted_issues,total_issues,community_score,created_at
p4lang/open-p4studio,https://github.com/p4lang/open-p4studio,125,,Apache License 2.0,10,0,32,10,2025-01-07
dqrk0jeste/owl,https://github.com/dqrk0jeste/owl,186,notable tiling wayland compositor,The MIT License,3,4,8,7,2024-09-10
alnitak/flutter_recorder,https://github.com/alnitak/flutter_recorder,36,A low-level audio recorder plugin which uses miniaudio as backend and supporting all the platforms. It can detect silence and save to WAV audio file. Audio wave and FFT data can be get in real-time as for the volume level.,Apache License 2.0,1,2,5,3,2024-09-12
project-ocre/ocre-runtime,https://github.com/project-ocre/ocre-runtime,49,"Leveraging WebAssembly and Zephyr, Ocre supports OCI-like application containers in a footprint up to 2000x lighter than Linux-based container runtimes such as Docker and Podman.",Apache License 2.0,3,0,4,3,2024-08-15
microsoft/documentdb,https://github.com/microsoft/documentdb,1352,"DocumentDB offers a native implementation of document-oriented NoSQL database, enabling seamless CRUD operations on BSON data types within a PostgreSQL framework. Powering vCore-based Azure Cosmos DB for MongoDB.",The MIT License,2,0,23,2,2025-01-22
ripplebiz/MeshCore,https://github.com/ripplebiz/MeshCore,146,"A new lightweight, hybrid routing mesh protocol for packet radios",The MIT License,1,1,18,2,2025-01-19
unvariance/collector,https://github.com/unvariance/collector,20,Unvariance collector: a Kubernetes-native collector for monitoring memory subsystem interference between pods,Apache License 2.0,0,2,9,2,2024-10-24
nicbarker/clay,https://github.com/nicbarker/clay,10911,High performance UI layout library in C.,Zlib/libpng License,0,1,84,1,2024-07-21
absmach/propeller,https://github.com/absmach/propeller,17,Wasm orchestrator and rules engine built on the top of SuperMQ,Apache License 2.0,0,1,6,1,2024-08-07
espressif/esp-brookesia,https://github.com/espressif/esp-brookesia,74,ESP-Brookesia is a human-machine interaction development framework designed for AIoT devices.,Apache License 2.0,0,1,5,1,2024-07-16
lvntky/fbgl,https://github.com/lvntky/fbgl,45,Lightweight 2D Framebuffer Library for Linux,The MIT License,0,1,2,1,2024-11-18
uswriting/zeroperl,https://github.com/uswriting/zeroperl,29," Perl5 in a sandboxed, self-contained WebAssembly module.",The MIT License,0,1,2,1,2025-01-01
laobamac/SimpleGBE,https://github.com/laobamac/SimpleGBE,20,A macOS kext for Intel Gbit Ethernet.,The MIT License,0,1,2,1,2024-10-13
konstantintutsch/Lock,https://github.com/konstantintutsch/Lock,22,Process data with GnuPG 🔒,The MIT License,1,0,1,1,2024-10-11
AdrianPanGithub/HoudiniEngineForUnreal,https://github.com/AdrianPanGithub/HoudiniEngineForUnreal,65,"Completely Rebuild of official Houdini Engine from Zero, 2x - 15x Faster I/O, and More functionalities optimized for making procedural landscape and city toolset",The MIT License,1,0,0,1,2024-08-10
jmattaa/laser,https://github.com/jmattaa/laser,47,"basically `ls` but `lsr`, and configurable with lua!",The MIT License,0,1,0,1,2024-10-13
fmil95/recvx-decomp,https://github.com/fmil95/recvx-decomp,29,Decompilation project of Resident Evil Code: Veronica X which aims to port the PS2 game to PC.,Creative Commons 1.0 Universal,0,1,0,1,2024-07-24
Chihaya-Yuka/CSTL,https://github.com/Chihaya-Yuka/CSTL,28,STL for C ⭐,Apache License 2.0,0,1,0,1,2024-08-24
teorth/equational_theories,https://github.com/teorth/equational_theories,296,A project to map out the relations between different equational theories of Magmas.,Apache License 2.0,0,0,62,0,2024-09-26
quictls/quictls,https://github.com/quictls/quictls,24,The official repository for the QuicTLS project.,Apache License 2.0,0,0,54,0,2024-09-23
