name,url,stars,description,license,question_issues,help_wanted_issues,total_issues,community_score,created_at
fast-excel/fastexcel,https://github.com/fast-excel/fastexcel,3935,easyexcel作者最新升级版本， 快速、简洁、解决大文件内存溢出的java处理Excel工具,The MIT License,6,20,86,26,2024-10-05
apache/arrow-java,https://github.com/apache/arrow-java,31,Official Java implementation of Apache Arrow,Apache License 2.0,0,12,417,12,2024-11-25
BuildCLI/BuildCLI,https://github.com/BuildCLI/BuildCLI,45,BuildCLI is a command-line interface (CLI) tool for managing and automating common tasks in Java project development.,The MIT License,0,7,43,7,2024-10-26
pig-mesh/deepseek4j,https://github.com/pig-mesh/deepseek4j,317,deepseek java sdk ,Apache License 2.0,5,0,3,5,2025-02-07
ReaJason/MemShellParty,https://github.com/ReaJason/MemShellParty,589,Java 内存马开聚会 🎉,The MIT License,1,3,16,4,2024-09-01
Matt-MX/DisplayNameTags,https://github.com/Matt-MX/DisplayNameTags,76,Replace boring old nametags with Display Entities!,The MIT License,1,3,13,4,2024-09-11
sdeigm/uni-meter,https://github.com/sdeigm/uni-meter,28,A universal electric meter data converter (emulator),Apache License 2.0,4,0,9,4,2024-12-04
alibaba/fluss,https://github.com/alibaba/fluss,1008,Fluss is a streaming storage built for real-time analytics.,Apache License 2.0,3,0,169,3,2024-10-31
rifsxd/process-hook,https://github.com/rifsxd/process-hook,71,Process Hook - Unlock hidden features and options,The MIT License,3,0,2,3,2024-09-23
alibaba/spring-ai-alibaba,https://github.com/alibaba/spring-ai-alibaba,816,An Application Framework for Java Developers,Apache License 2.0,0,2,102,2,2024-09-09
doubleDimple/oci-start,https://github.com/doubleDimple/oci-start,149,,Apache License 2.0,2,0,11,2,2024-09-20
RoastSlav/quickdrop,https://github.com/RoastSlav/quickdrop,194,"QuickDrop is an easy-to-use file sharing application that allows users to upload files without an account, generate download links, and manage file availability, file encryption and optional password protection. ",The MIT License,0,2,8,2,2024-10-05
tomaytotomato/location4j,https://github.com/tomaytotomato/location4j,23,A location lookup and search library for Java 🌎,The MIT License,2,0,5,2,2024-07-17
SkyDependence/tgDrive,https://github.com/SkyDependence/tgDrive,58,一款基于telegram bot的文件上传、分享、图床系统,The MIT License,0,2,4,2,2024-09-26
dbeaver/dbeaver-jdbc-libsql,https://github.com/dbeaver/dbeaver-jdbc-libsql,46,LibSQL JDBC driver,Apache License 2.0,1,0,4,1,2024-10-27
lopcode/vips-ffm,https://github.com/lopcode/vips-ffm,41,"libvips bindings for Java, Kotlin, and JVM projects using the Foreign Function and Memory API (FFM)",Apache License 2.0,1,0,3,1,2024-08-05
DerDavidBohl/dirigent-spring,https://github.com/DerDavidBohl/dirigent-spring,35,,The MIT License,1,0,3,1,2025-01-08
hngprojects/hng_boilerplate_java_web,https://github.com/hngprojects/hng_boilerplate_java_web,151,,Apache License 2.0,0,0,111,0,2024-07-12
