name,url,stars,description,license,question_issues,help_wanted_issues,total_issues,community_score,created_at
remittor/zapret-openwrt,https://github.com/remittor/zapret-openwrt,232,OpenWrt packages of https://github.com/bol-van/zapret,The MIT License,13,14,36,27,2024-10-10
jparkerweb/pixel-banner,https://github.com/jparkerweb/pixel-banner,92,🚩 Plugin for Obsidian that allows you to automatically add beautiful banner images to your notes from various sources.,The MIT License,21,2,14,23,2024-09-03
Groverio/To-Do-List,https://github.com/Groverio/To-Do-List,50,"A simple and intuitive To-Do List application to manage your tasks effectively. Features include task creation, editing, deletion.",The MIT License,1,10,48,11,2024-07-15
Luson045/medi-connect,https://github.com/Luson045/medi-connect,46,"Medi-connect(now Med Space)  is an online hospital appointment booking website. Visit our website,  Make sure the check the announcement... LEAVE US A ⭐...",The MIT License,0,10,101,10,2024-09-05
mathe00/obsidian-plugin-python-bridge,https://github.com/mathe00/obsidian-plugin-python-bridge,50,"Develop Obsidian plugins in Python! 🐍 Interact with your notes, retrieve frontmatter, send notifications, and much more – all through simple Python scripts. Cut the complexity of writing JavaScript plugins and dive into creating your Obsidian workflows with Python!",The MIT License,1,9,12,10,2024-09-29
avo-hq/marksmith,https://github.com/avo-hq/marksmith,391,GitHub-style markdown editor for Ruby and Rails,The MIT License,0,7,7,7,2025-01-19
kaiban-ai/KaibanJS,https://github.com/kaiban-ai/KaibanJS,989,KaibanJS is a JavaScript-native framework for building and managing multi-agent systems  with a Kanban-inspired approach.,The MIT License,0,6,65,6,2024-07-10
manikumarreddyu/AgroTech-AI,https://github.com/manikumarreddyu/AgroTech-AI,74,AgroTech AI platform is a comprehensive web-based tool where users can access various machine learning models for making accurate predictions related to agriculture,The MIT License,0,6,0,6,2024-07-04
Vin205/Enyanjyoti,https://github.com/Vin205/Enyanjyoti,48,"This repository is officially part of GirlScript Summer of Code 2024 Extended Edition!  Enyanjyoti platform serves as a one stop solution for conceptual learning, career and employment opportunities and information about loans and grants",The MIT License,4,1,133,5,2024-09-18
Pedro-Gregorio/TubeMod,https://github.com/Pedro-Gregorio/TubeMod,290,A browser extension that allows users to visualize YouTube the way they want.,The MIT License,1,4,28,5,2024-09-11
farhan0167/otto-m8,https://github.com/farhan0167/otto-m8,63,"Flowchart-like UI to interconnect LLM's and Huggingface models, and deploy them as a REST API with little to no code.",Apache License 2.0,0,5,15,5,2024-09-10
RamakrushnaBiswal/PlayCafe,https://github.com/RamakrushnaBiswal/PlayCafe,51,it a cafe website🚀,The MIT License,4,0,43,4,2024-09-16
MarSeventh/CloudFlare-ImgBed,https://github.com/MarSeventh/CloudFlare-ImgBed,1550,基于 CloudFlare Pages 的开源文件托管解决方案，支持 Telegram Bot 、R2、S3 等多种存储方式！,Creative Commons 1.0 Universal,1,3,24,4,2024-07-19
guobao2333/DeepLX-Serverless,https://github.com/guobao2333/DeepLX-Serverless,489,DeepL Free API for Serverless,The MIT License,0,4,2,4,2024-08-08
codeaashu/DevDisplay,https://github.com/codeaashu/DevDisplay,228,"DevDisplay is a global open source community platform that brings together all your tech needs in one place. 🌟 Join DevDisplay to Showcase your skills, connect globally, collaborate, build and promote.",The MIT License,0,3,51,3,2024-09-13
BYOJS/storage,https://github.com/BYOJS/storage,221,Simple key-value storage API backed by various client storage mechanisms,The MIT License,1,2,2,3,2024-08-26
urin/vscode-web-visual-editor,https://github.com/urin/vscode-web-visual-editor,587,Edit HTML files visually.,The MIT License,2,1,0,3,2024-08-19
daxcay/ComfyUI-Nexus,https://github.com/daxcay/ComfyUI-Nexus,80,Node to enable seamless multiuser workflow collaboration,The MIT License,3,0,0,3,2024-08-24
modelcontextprotocol/servers,https://github.com/modelcontextprotocol/servers,9559,Model Context Protocol Servers,The MIT License,1,1,144,2,2024-11-19
KwokKwok/Silo,https://github.com/KwokKwok/Silo,210,"多模型同时对话、文生图，纯前端。Multi-model simultaneous chat、text-to-image generation, all done through pure front-end (API mode, no server-side needed).",The MIT License,0,2,0,2,2024-08-20
vedhsaka/Nothotdog-mvp,https://github.com/vedhsaka/Nothotdog-mvp,62,NotHotDog is postman for voice AI agents,The MIT License,0,1,23,1,2024-07-23
setube/vue-XiuXianGame,https://github.com/setube/vue-XiuXianGame,1128,文字游戏: 我的文字修仙全靠刷,The MIT License,1,0,6,1,2024-07-14
roboflow/model-leaderboard,https://github.com/roboflow/model-leaderboard,63,Which model is the best at object detection? Which is best for small or large objects? We compare the results in a handy leaderboard.,The MIT License,1,0,6,1,2024-09-03
weapp-vite/weapp-vite,https://github.com/weapp-vite/weapp-vite,80,weapp-vite 把现代化的 web 开发方式，带入传统的小程序开发吧！,The MIT License,1,0,3,1,2024-09-18
mylofi/local-vault,https://github.com/mylofi/local-vault,109,"Store key-value data encrypted (biometric passkey protected), locally in the client",The MIT License,0,1,2,1,2024-08-12
ViaAnthroposBenevolentia/gemini-2-live-api-demo,https://github.com/ViaAnthroposBenevolentia/gemini-2-live-api-demo,287,"Vanilla JS web interface for Gemini 2.0 flash-exp  Multimodal API with text, audio, camera, screen inputs and audio responses and function calling",The MIT License,0,1,1,1,2024-12-20
RootUp/SmuggleShield,https://github.com/RootUp/SmuggleShield,87,Protection against HTML smuggling attempts.,Apache License 2.0,0,1,1,1,2024-09-13
