name,url,stars,description,license,question_issues,help_wanted_issues,total_issues,community_score,created_at
SWivid/F5-TTS,https://github.com/SWivid/F5-TTS,9725,"Official code for ""F5-TTS: A Fairytaler that Fakes Fluent and Faithful Speech with Flow Matching""",The MIT License,117,84,37,201,2024-10-08
DS4SD/docling,https://github.com/DS4SD/docling,21476,Get your documents ready for gen AI,The MIT License,100,11,168,111,2024-07-09
kyutai-labs/moshi,https://github.com/kyutai-labs/moshi,7512,"Moshi is a speech-text foundation model and full-duplex spoken dialogue framework. It uses Mimi, a state-of-the-art streaming neural audio codec.",Apache License 2.0,83,0,36,83,2024-08-07
NVIDIA/Cosmos,https://github.com/NVIDIA/Cosmos,7512,"Cosmos is a world model development platform that consists of world foundation models, tokenizers and video processing pipeline to accelerate the development of Physical AI at Robotics & AV labs.  Cosmos is purpose built for physical AI. The Cosmos repository will enable end users to run the Cosmos models, run inference scripts and generate videos.",Apache License 2.0,52,0,22,52,2024-12-30
microsoft/VPTQ,https://github.com/microsoft/VPTQ,588,"VPTQ, A Flexible and Extreme low-bit quantization algorithm",The MIT License,27,0,17,27,2024-08-13
balazik/ComfyUI-PuLID-Flux,https://github.com/balazik/ComfyUI-PuLID-Flux,551,PuLID-Flux ComfyUI implementation,Apache License 2.0,1,24,66,25,2024-10-01
av/harbor,https://github.com/av/harbor,1274,"Effortlessly run LLM backends, APIs, frontends, and services with one command.",Apache License 2.0,21,3,35,24,2024-07-27
chaidiscovery/chai-lab,https://github.com/chaidiscovery/chai-lab,1535,"Chai-1, SOTA model for biomolecular structure prediction",Apache License 2.0,22,1,59,23,2024-09-09
jingyaogong/minimind,https://github.com/jingyaogong/minimind,10594,🚀🚀 「大模型」2小时完全从0训练26M的小参数GPT！🌏 Train a 26M-parameter GPT from scratch in just 2h!,Apache License 2.0,22,0,25,22,2024-07-27
PKU-Alignment/align-anything,https://github.com/PKU-Alignment/align-anything,2090,Align Anything: Training All-modality Model with Feedback,Apache License 2.0,18,0,15,18,2024-07-14
volcengine/verl,https://github.com/volcengine/verl,3438,verl: Volcano Engine Reinforcement Learning for LLMs,Apache License 2.0,12,2,86,14,2024-10-31
HKUDS/LightRAG,https://github.com/HKUDS/LightRAG,11982,"""LightRAG: Simple and Fast Retrieval-Augmented Generation""",The MIT License,14,0,48,14,2024-10-02
codelion/optillm,https://github.com/codelion/optillm,2043,Optimizing inference proxy for LLMs,Apache License 2.0,13,1,8,14,2024-08-22
modelcontextprotocol/python-sdk,https://github.com/modelcontextprotocol/python-sdk,1930,The official Python SDK for Model Context Protocol servers and clients,The MIT License,5,7,56,12,2024-09-24
vllm-project/production-stack,https://github.com/vllm-project/production-stack,479,Scale from single vLLM instance to distributed vLLM deployment without changing any application code.,Apache License 2.0,4,8,25,12,2025-01-21
jlowin/fastmcp,https://github.com/jlowin/fastmcp,1015,"The fast, Pythonic way to build Model Context Protocol servers 🚀 ",The MIT License,7,5,21,12,2024-11-30
ai-christianson/RA.Aid,https://github.com/ai-christianson/RA.Aid,447,Develop software autonomously.,Apache License 2.0,0,11,20,11,2024-12-10
bytedance/Protenix,https://github.com/bytedance/Protenix,937,A trainable PyTorch reproduction of AlphaFold 3.,Apache License 2.0,10,0,14,10,2024-11-08
openreasoner/openr,https://github.com/openreasoner/openr,1646,OpenR: An Open Source Framework for Advanced Reasoning with Large Language Models,The MIT License,7,1,43,8,2024-10-11
zjunlp/OmniThink,https://github.com/zjunlp/OmniThink,389,OmniThink: Expanding Knowledge Boundaries in Machine Writing through Thinking,The MIT License,8,0,7,8,2024-12-10
circlemind-ai/fast-graphrag,https://github.com/circlemind-ai/fast-graphrag,2927,"RAG that intelligently adapts to your use case, data, and queries",The MIT License,0,6,27,6,2024-10-30
calibrain/calibre-web-automated-book-downloader,https://github.com/calibrain/calibre-web-automated-book-downloader,499,,The MIT License,0,6,24,6,2024-12-16
