name,url,stars,description,license,question_issues,help_wanted_issues,total_issues,community_score,created_at
omeryusufyagci/fast-music-remover,https://github.com/omeryusufyagci/fast-music-remover,542,"A C++ based, lightweight music and noise remover for YouTube and other internet media, using DeepFilterNet for audio enhancement.",The MIT License,0,23,26,23,2024-09-07
cafali/SnapKey,https://github.com/cafali/SnapKey,324,"SnapKey provides a user-friendly Razer Snap Tap/Wooting SOCD alternative, making it accessible across all keyboards!",The MIT License,8,1,1,9,2024-07-14
Ivorforce/NumDot,https://github.com/Ivorforce/NumDot,29,Tensor math and scientific computation for the Godot game engine.,The MIT License,0,8,50,8,2024-08-31
mappu/miqt,https://github.com/mappu/miqt,360,MIT-licensed Qt bindings for Go,The MIT License,1,6,42,7,2024-08-25
quackscience/duckdb-extension-openprompt,https://github.com/quackscience/duckdb-extension-openprompt,37,DuckDB Community Extension to prompt LLMs from SQL,The MIT License,1,6,3,7,2024-10-20
antgroup/vsag,https://github.com/antgroup/vsag,216,vsag is a vector indexing library used for similarity search.,Apache License 2.0,4,1,32,5,2024-07-25
MIT-SPARK/KISS-Matcher,https://github.com/MIT-SPARK/KISS-Matcher,286,"KISS-Matcher: Fast, Robust, and Scalable Registration for All Point Clouds",The MIT License,4,1,2,5,2024-09-10
apinge/MeloTTS.cpp,https://github.com/apinge/MeloTTS.cpp,39,"A lightweight pure C++ Text-to-Speech (TTS) pipeline with OpenVINO, supporting multiple languages.",Apache License 2.0,2,2,8,4,2024-08-26
Genta-Technology/Kolosal,https://github.com/Genta-Technology/Kolosal,78,Simplified LLM inference and training on device,Apache License 2.0,0,3,9,3,2024-10-21
renderbag/re-spirv,https://github.com/renderbag/re-spirv,37,Lightweight and fast SPIR-V re-optimizer designed around spec constant usage.,The MIT License,0,3,3,3,2024-07-31
quackscience/duckdb-extension-clickhouse-sql,https://github.com/quackscience/duckdb-extension-clickhouse-sql,47,DuckDB Community Extension implementing ClickHouse SQL Dialect macros and Custom functions for DuckDB,The MIT License,1,2,2,3,2024-07-06
Saloni6111/DSA_Problems,https://github.com/Saloni6111/DSA_Problems,29,Solve given DSA problems here for hactoberfest.,The MIT License,0,2,22,2,2024-09-25
NJUPT-SAST/sast-evento,https://github.com/NJUPT-SAST/sast-evento,28,SAST Evento is a cross-platform desktop client based on Slint.,The MIT License,1,1,6,2,2024-07-28
quackscience/duckdb-extension-httpclient,https://github.com/quackscience/duckdb-extension-httpclient,48,DuckDB HTTP GET/POST Client in a Community Extension,The MIT License,1,1,5,2,2024-10-13
danihek/hellwal,https://github.com/danihek/hellwal,227,"Pywal-like color palette generator, but faster and in C",The MIT License,1,1,2,2,2024-11-20
baconpaul/six-sines,https://github.com/baconpaul/six-sines,148,"That's the right number of sines, I think.",The MIT License,1,0,32,1,2024-12-20
software-mansion-labs/react-native-audio-api,https://github.com/software-mansion-labs/react-native-audio-api,229,Repository for react-native-audio-api library,The MIT License,0,1,19,1,2024-07-03
ardazishvili/Sota,https://github.com/ardazishvili/Sota,39,Editable generator of discrete structures for Godot 4,The MIT License,1,0,19,1,2024-08-16
tile-ai/tilelang,https://github.com/tile-ai/tilelang,256, Domain-specific language designed to streamline the development of high-performance GPU/CPU/Accelerators kernels,The MIT License,0,1,17,1,2024-10-03
RFoe/coasync,https://github.com/RFoe/coasync,55,Asynchronous network library that supports coroutines in C++20,The MIT License,0,1,11,1,2024-08-21
bd-iaas-us/InfiniStore,https://github.com/bd-iaas-us/InfiniStore,31,A distributed KV store for disaggregated LLM inference,Apache License 2.0,0,1,10,1,2024-09-06
MiroKaku/Musa.Runtime,https://github.com/MiroKaku/Musa.Runtime,74,"The Universal C++ RunTime library, supporting kernel-mode C++ exception-handler and STL. ",The MIT License,1,0,7,1,2024-07-07
PRBonn/kinematic-icp,https://github.com/PRBonn/kinematic-icp,242,A LiDAR odometry pipeline for wheeled mobile robots,The MIT License,0,1,5,1,2024-10-14
ffengc/HareMQ,https://github.com/ffengc/HareMQ,55,"A C++ version of the simplified message queue component is implemented based on RabbitMQ. In order to learn RabbitMQ, this project encompasses the essence and core functions of a high-performance messaging system, imitates the basic architecture of RabbitMQ, and focuses on the publish-subscribe mechanism.",The MIT License,0,1,2,1,2024-07-16
wangzhaode/onnx-llm,https://github.com/wangzhaode/onnx-llm,32,llm deploy project based onnx.,Apache License 2.0,1,0,2,1,2024-10-08
